id,group,lettera,letterb,feeling,activity_id,activity,onpurpose,finished,height
1,1,a,,just ok,act1,media,,n,56
2,1,,,not fun,act2,conversation,,y,106
3,1,,,not fun,act3,clothing,,y,130
4,1,,,just ok,act1,media,,y,84
5,1,a,b,not fun,act4,broke-a-habit,not on purpose,y,100
6,1,,,not fun,act5,fancy-dress,,y,152
7,1,,,not fun,act2,conversation,,n,58
8,1,,b,not fun,act6,food-drink,not on purpose,n,50
9,1,,,not fun,act2,conversation,,n,60
10,1,,,not fun,act2,conversation,,y,56
11,1,,,just ok,act4,broke-a-habit,not on purpose,y,137
12,2,,,just ok,act1,media,,y,49
13,2,,,not fun,act6,food-drink,,y,83
14,2,,,not fun,act4,broke-a-habit,,y,51
15,2,,,just ok,act3,clothing,,y,92
16,2,a,,not fun,act4,broke-a-habit,not on purpose,y,61
17,2,,,not fun,act4,broke-a-habit,,y,92
18,2,,,not fun,act1,media,,y,58
19,3,,,just ok,act4,broke-a-habit,not on purpose,y,46
20,3,,,just ok,act6,food-drink,,y,78
21,3,,,fun,act7,new-place,,y,46
22,3,,,fun,act7,new-place,,y,46
23,3,a,,fun,act7,new-place,,y,78
24,3,,,fun,act7,new-place,,y,46
25,3,a,,fun,act8,public-act,,y,175
26,3,a,,just ok,act6,food-drink,,y,46
27,3,,,fun,act7,new-place,not on purpose,y,46
28,3,,,fun,act3,clothing,,y,78
29,3,,,fun,act2,conversation,,y,103
30,3,,b,just ok,act3,clothing,,y,118
31,3,,b,just ok,act6,food-drink,not on purpose,y,46
32,3,,,fun,act2,conversation,,y,89
33,3,,,fun,act2,conversation,,y,104
